# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Fri Jan  7 16:11:34 2022
# Spectral unit: Frequency[cm-1]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.309727549e+03 9.97047e-01 9.99972e-01 1.00000e+00 1.00000e+00 9.97415e-01 1.00000e+00 9.99670e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309724929e+03 9.97145e-01 9.99971e-01 1.00000e+00 1.00000e+00 9.97515e-01 1.00000e+00 9.99669e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309722310e+03 9.97235e-01 9.99968e-01 1.00000e+00 1.00000e+00 9.97608e-01 1.00000e+00 9.99669e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309719690e+03 9.97319e-01 9.99966e-01 1.00000e+00 1.00000e+00 9.97695e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309717071e+03 9.97398e-01 9.99963e-01 1.00000e+00 1.00000e+00 9.97776e-01 1.00000e+00 9.99669e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309714451e+03 9.97471e-01 9.99959e-01 1.00000e+00 1.00000e+00 9.97853e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309711832e+03 9.97537e-01 9.99954e-01 1.00000e+00 1.00000e+00 9.97925e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309709213e+03 9.97602e-01 9.99951e-01 1.00000e+00 1.00000e+00 9.97993e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309706593e+03 9.97662e-01 9.99947e-01 1.00000e+00 1.00000e+00 9.98057e-01 1.00000e+00 9.99668e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309703974e+03 9.97717e-01 9.99942e-01 9.99999e-01 1.00000e+00 9.98118e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309701354e+03 9.97767e-01 9.99936e-01 9.99999e-01 1.00000e+00 9.98175e-01 1.00000e+00 9.99667e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309698735e+03 9.97812e-01 9.99927e-01 9.99999e-01 1.00000e+00 9.98229e-01 1.00000e+00 9.99666e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309696116e+03 9.97853e-01 9.99917e-01 9.99999e-01 1.00000e+00 9.98280e-01 1.00000e+00 9.99665e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309693496e+03 9.97887e-01 9.99905e-01 9.99999e-01 1.00000e+00 9.98329e-01 1.00000e+00 9.99664e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309690877e+03 9.97916e-01 9.99888e-01 9.99998e-01 1.00000e+00 9.98375e-01 1.00000e+00 9.99663e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309688257e+03 9.97937e-01 9.99868e-01 9.99998e-01 1.00000e+00 9.98419e-01 1.00000e+00 9.99662e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309685638e+03 9.97948e-01 9.99840e-01 9.99997e-01 1.00000e+00 9.98460e-01 1.00000e+00 9.99660e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309683019e+03 9.97946e-01 9.99803e-01 9.99995e-01 1.00000e+00 9.98500e-01 1.00000e+00 9.99658e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309680399e+03 9.97924e-01 9.99750e-01 9.99991e-01 1.00000e+00 9.98537e-01 1.00000e+00 9.99656e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309677780e+03 9.97868e-01 9.99675e-01 9.99977e-01 1.00000e+00 9.98573e-01 1.00000e+00 9.99652e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309675161e+03 9.97760e-01 9.99561e-01 9.99955e-01 1.00000e+00 9.98607e-01 1.00000e+00 9.99647e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309672541e+03 9.97631e-01 9.99379e-01 9.99982e-01 1.00000e+00 9.98639e-01 1.00000e+00 9.99640e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309669922e+03 9.97348e-01 9.99066e-01 9.99992e-01 1.00000e+00 9.98670e-01 1.00000e+00 9.99629e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309667303e+03 9.96737e-01 9.98439e-01 9.99995e-01 1.00000e+00 9.98699e-01 1.00000e+00 9.99611e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309664683e+03 9.94950e-01 9.96650e-01 9.99997e-01 1.00000e+00 9.98727e-01 1.00000e+00 9.99580e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
1.309662064e+03 9.93084e-01 9.94817e-01 9.99998e-01 1.00000e+00 9.98753e-01 1.00000e+00 9.99518e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01
